,id_partido,competition,fixture,date,city,stadium,resultado,home_team,away_team
0,3872550,División de Honor Juvenil,Jornada 1,03/09/2022 18:00h,Ciudad: Getafe,Estadio: Ciudad Deportiva Getafe,3 - 0,Getafe C.F. SAD,U.D. La Cruz Villanovense
1,3872551,División de Honor Juvenil,Jornada 1,04/09/2022 12:30h,Ciudad: Valladolid,Estadio: Anexos E.M. José Zorrilla (H. Artificial),1 - 2,Real Valladolid C.F. S.A.D.,Club Atlético de Madrid SAD
2,3872552,División de Honor Juvenil,Jornada 1,03/09/2022 18:00h,Ciudad: Madrid,Estadio: C.Dep. Fundacion Rayo Vallecano - Campo 4,0 - 2,Rayo Vallecano de Madrid SAD,C.F. Fuenlabrada SAD
3,3872553,División de Honor Juvenil,Jornada 1,03/09/2022 18:00h,Ciudad: Alcorcón,Estadio: P.M. Santo Domingo,2 - 1,A.D. Alcorcón SAD,C.D.I. de la Amistad
4,3872554,División de Honor Juvenil,Jornada 1,03/09/2022 19:00h,Ciudad: Valdebebas,Estadio: Ciudad Real Madrid,7 - 0,Real Madrid C.F.,C.D. Badajoz 1905
5,3872555,División de Honor Juvenil,Jornada 1,03/09/2022 13:30h,Ciudad: Leon,Estadio: Area D. de Puente Castro 1,1 - 2,C. y D. Leonesa S.A.D.,AD Sporting Hortaleza
6,3872556,División de Honor Juvenil,Jornada 1,03/09/2022 17:00h,Ciudad: Cáceres,Estadio: Federación de Caceres,0 - 0,C.D. Col. Diocesano,C.D. Leganés SAD
7,3872557,División de Honor Juvenil,Jornada 1,03/09/2022 16:15h,Ciudad: Alcobendas,Estadio: Polideportivo Municipal Ciudad Deportiva Valdelasfuentes,0 - 3,Rayo Ciudad Alcobendas CF,C.F. Rayo Majadahonda
8,3872558,División de Honor Juvenil,Jornada 2,10/09/2022 18:00h,Ciudad: Villanueva De La Serena,Estadio: Anexo Estadio Villanovense,0 - 3,U.D. La Cruz Villanovense,Rayo Ciudad Alcobendas CF
9,3872559,División de Honor Juvenil,Jornada 2,10/09/2022 19:00h,Ciudad: Alcalá De Henares,Estadio: C.D. WANDA ALCALÁ (natural),1 - 0,Club Atlético de Madrid SAD,Getafe C.F. SAD
10,3872560,División de Honor Juvenil,Jornada 2,11/09/2022 12:00h,Ciudad: Fuenlabrada,Estadio: La Aldehuela,1 - 2,C.F. Fuenlabrada SAD,Real Valladolid C.F. S.A.D.
11,3872561,División de Honor Juvenil,Jornada 2,11/09/2022 12:00h,Ciudad: Palencia,Estadio: E.M. Nueva Balastera,1 - 3,C.D.I. de la Amistad,Rayo Vallecano de Madrid SAD
12,3872562,División de Honor Juvenil,Jornada 2,10/09/2022 19:00h,Ciudad: Badajoz,Estadio: Campos Federativos Eusebio Bejarano Vilaro,0 - 3,C.D. Badajoz 1905,A.D. Alcorcón SAD
13,3872563,División de Honor Juvenil,Jornada 2,10/09/2022 18:30h,Ciudad: Madrid,Estadio: Municipal Sporting de Hortaleza,0 - 3,AD Sporting Hortaleza,Real Madrid C.F.
14,3872564,División de Honor Juvenil,Jornada 2,11/09/2022 16:00h,Ciudad: Leganés,Estadio: Instalación Deportiva Butarque,1 - 0,C.D. Leganés SAD,C. y D. Leonesa S.A.D.
15,3872565,División de Honor Juvenil,Jornada 2,10/09/2022 16:30h,Ciudad: Majadahonda,Estadio: Campos Municipales Valle de la Oliva,0 - 0,C.F. Rayo Majadahonda,C.D. Col. Diocesano
16,3872566,División de Honor Juvenil,Jornada 3,18/09/2022 12:00h,Ciudad: Villanueva De La Serena,Estadio: Anexo Estadio Villanovense,0 - 0,U.D. La Cruz Villanovense,Club Atlético de Madrid SAD
17,3872567,División de Honor Juvenil,Jornada 3,18/09/2022 11:30h,Ciudad: Getafe,Estadio: Ciudad Deportiva Getafe,1 - 1,Getafe C.F. SAD,C.F. Fuenlabrada SAD
